time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,A_mag,Gyro_mag,Fx,Fy,Fz,Mx,My,Mz,F_mag,M_mag
0.000962,1.4081943744,4.85926762958,1.5615924544,-1.580000224,3800,3800,-0.0191747598486,-0.0117179087963,0.0031957933081,-2.28100538133e-07,-5.46305243917e-10,-5.46305243917e-10,-0.07068359375,-0.08078125,4.10227001195,1841,1901,2129,2337,2087,1880,1913,2023,4.81257496331,4.8242203666,0.0,1.65414043408,1.65814310055,15588.6260454,15588.6260454,0.0,2.28101846541e-07,0.022697883088,8.24257021155e-09,5.60309871908e-09,-1.40554915512e-09,-2.98968131795e-07,3.64667614234e-07,5.86545780974e-08,1.00652991697e-08,4.75189196249e-07
0.001963,1.407427384,4.85926762958,1.5615924544,-1.580000224,3800,3800,-0.0149137021044,-0.00745685105222,0.00106526443603,-1.96165926394e-06,-4.6982122508e-09,-4.6982122508e-09,0.0605859375,-0.08078125,4.10227001195,1841,1901,2129,2337,2087,1880,1913,2023,4.66118472051,4.8242203666,0.0094948904922,1.60210576992,1.65814310055,15588.6260454,15588.6260454,1.06526443603e-06,1.96167051622e-06,0.0167080198226,7.28299123958e-08,4.95080027688e-08,-1.24191871235e-08,-2.64163025475e-06,3.22213941969e-06,5.18261619229e-07,8.89352274779e-08,4.19868883685e-06
0.002964,1.4085778696,4.85773364878,1.5615924544,-1.580000224,3800,3800,-0.0138484376684,-0.00745685105222,-0.00106526443603,-8.4623624891e-06,-2.02675234419e-08,-2.02675234419e-08,-0.07068359375,-0.040390625,4.10227001195,1841,1901,2129,2337,2087,1880,1913,2023,4.81257496331,4.77763875343,0.0190946944227,1.65414043408,1.64213243466,15588.6260454,15588.6260454,0.0,8.46241103008e-06,0.015764474041,3.24525371059e-07,2.20604452764e-07,-5.53390931956e-08,-1.17709332666e-05,1.4357644495e-05,2.30934019764e-06,3.96289611618e-07,1.87090854282e-05
0.003965,1.407427384,4.85965112478,1.5615924544,-1.580000224,3800,3800,-0.0170442309765,-0.0106526443603,0.00106526443603,-2.50614895315e-05,-6.00227569102e-08,-6.00227569102e-08,-0.08078125,0.0,4.10227001195,1842,1900,2128,2336,2086,1879,1910,2024,4.8242203666,4.73105714026,0.028659527207,1.65814310055,1.62612176876,15588.6260454,15588.6260454,1.06526443603e-06,2.50616332868e-05,0.0201275788352,9.84204619184e-07,6.66633531907e-07,-1.67459947448e-07,-3.56205305344e-05,4.35375133112e-05,7.09704814779e-06,1.200459009e-06,5.66983716987e-05
0.004966,1.4078108792,4.85888413438,1.5615924544,-1.580000224,3800,3800,-0.0159789665405,-0.0117179087963,0.0031957933081,-5.85992178255e-05,-1.40346271208e-07,-1.40346271208e-07,-0.0201953125,0.05048828125,4.10227001195,1842,1900,2128,2336,2086,1879,1910,2024,4.75434794685,4.6728301238,0.0380961324557,1.63412710171,1.6061084364,15588.6260454,15588.6260454,4.26105774413e-06,5.85995539566e-05,0.0200711198773,2.30931884332e-06,1.54857014773e-06,-3.90525410825e-07,-8.30745922866e-05,0.000102118944864,1.72584562919e-05,2.80776300977e-06,0.000132768675135
0.005967,1.407427384,4.85811714398,1.5615924544,-1.580000224,3800,3800,-0.0149137021044,-0.00958737992429,0.0031957933081,-0.000117033895965,-2.80298466654e-07,-2.80298466654e-07,0.08078125,0.040390625,4.10227001195,1842,1900,2128,2336,2086,1879,1910,2024,4.63789391393,4.6844755271,0.0474278242662,1.59410043698,1.61011110287,15588.6260454,15588.6260454,7.45685105222e-06,0.000117034567283,0.0180152562885,4.51701712879e-06,2.97587586617e-06,-7.55698755075e-07,-0.000160775478301,0.000199619469089,3.58204565053e-05,5.46171781778e-06,0.000258804543945
0.006968,1.407427384,4.85850063918,1.5615924544,-1.580000224,3800,3800,-0.0138484376684,-0.00958737992429,0.00213052887206,-0.000209309264501,-5.01299776551e-07,-5.01299776551e-07,0.01009765625,0.03029296875,4.10227001195,1842,1900,2128,2336,2086,1879,1910,2024,4.71941173697,4.69612093039,0.0568527724662,1.62211910229,1.61411376934,15588.6260454,15588.6260454,9.58737992429e-06,0.00020931046512,0.0169775214016,7.741863681e-06,4.97228494736e-06,-1.27551148647e-06,-0.000271413138391,0.000341833427303,6.63713547097e-05,9.28907963176e-06,0.000441497837411
0.007969,1.4078108792,4.85888413438,1.5615924544,-1.580000224,3800,3800,-0.0170442309765,-0.00958737992429,0.0031957933081,-0.000345331720996,-8.27076216546e-07,-8.27076216546e-07,-0.09087890625,-0.08078125,4.10227001195,1842,1900,2128,2336,2086,1879,1910,2024,4.83586576989,4.8242203666,0.0665225186889,1.66214576702,1.65814310055,15588.6260454,15588.6260454,1.27831732324e-05,0.000345333701854,0.0198150639227,1.20347712265e-05,7.4780514481e-06,-1.9441384299e-06,-0.000413782552484,0.000530791762088,0.000112937853604,1.4301630892e-05,0.000682430109401
0.00897,1.4085778696,4.85926762958,1.5615924544,-1.580000224,3800,3800,-0.0170442309765,-0.00639158661619,0.00213052887206,-0.00053605990272,-1.28387393694e-06,-1.28387393694e-06,-0.03029296875,0.03029296875,4.10227001195,1842,1900,2128,2336,2086,1879,1910,2024,4.76599335014,4.69612093039,0.0759940950837,1.63812976818,1.61411376934,15588.6260454,15588.6260454,1.49137021044e-05,0.000536062977615,0.0183275023483,1.73743670963e-05,1.03629835492e-05,-2.74015199766e-06,-0.000583367664735,0.000765277337852,0.00017985979361,2.04149085966e-05,0.000978936556395
0.009971,1.407427384,4.85811714398,1.5615924544,-1.580000224,3800,3800,-0.0170442309765,-0.00852211548825,0.00106526443603,-0.000793423036253,-1.90026366837e-06,-1.90026366837e-06,0.07068359375,-0.08078125,4.10227001195,1842,1901,2129,2336,2086,1880,1911,2023,4.64953931722,4.8242203666,0.0854773285272,1.59810310345,1.65814310055,15588.6260454,15588.6260454,1.59789665405e-05,0.000793427587409,0.0190857813645,2.36812835452e-05,1.34402754535e-05,-3.6352057293e-06,-0.00077299480287,0.00104145111902,0.000271793490766,2.74710559555e-05,0.00132514644481
